Syntax version=4
Wed Apr 04 08:56:57 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	688.33	0.000000	0
D:	689.13	0.000000	0
D:	689.88	0.000000	0
D:	690.64	0.000000	0
D:	691.49	0.000000	0
D:	692.24	0.000000	0
D:	693.03	0.000000	0
D:	693.79	0.000000	0
D:	694.66	0.000000	0
D:	695.55	0.000000	0
D:	696.51	0.000000	0
D:	697.50	0.000000	0
D:	698.41	0.000000	0
D:	699.33	0.000000	0
D:	700.29	0.000000	0
D:	701.29	0.000000	0
D:	702.25	0.000000	0
D:	703.22	0.000000	0
D:	704.18	0.000000	0
D:	705.05	0.000000	0
D:	706.01	0.000000	0
D:	706.90	0.000000	0
D:	707.81	0.000000	0
D:	708.68	0.000000	0
D:	709.52	0.000000	0
D:	710.51	0.000000	0
D:	711.55	0.000000	0
D:	712.54	0.000000	0
D:	713.54	0.000000	0
D:	714.53	0.000000	0
D:	715.54	0.000000	0
D:	716.52	0.000000	0
D:	717.53	0.000000	0
D:	718.52	0.000000	0
D:	719.52	0.000000	0
D:	720.52	0.000000	0
D:	721.53	0.000000	0
D:	722.52	0.000000	0
D:	723.44	0.000000	0
D:	724.39	0.000000	0
D:	725.35	0.000000	0
D:	726.28	0.000000	0
D:	727.23	0.000000	0
D:	728.06	0.000000	0
D:	728.93	0.000000	0
D:	729.76	0.000000	0
D:	730.57	0.000000	0
D:	731.41	0.000000	0
D:	732.25	0.000000	0
D:	733.03	0.000000	0
D:	733.87	0.000000	0
D:	734.68	0.000000	0
D:	735.51	0.000000	0
D:	736.34	0.000000	0
D:	737.06	0.000000	0
D:	737.79	0.000000	0
D:	738.55	0.000000	0
D:	739.34	0.000000	0
D:	740.08	0.000000	0
D:	740.77	0.000000	0
D:	741.47	0.000000	0
D:	742.15	0.000000	0
D:	742.82	0.000000	0
D:	743.56	0.000000	0
D:	744.35	0.000000	0
D:	745.14	0.000000	0
D:	745.87	0.000000	0
D:	746.64	0.000000	0
